psnr,ssim,dist
1.000000,1.000000,0.000003
0.205408,0.993357,0.017370
0.143557,0.943947,0.131907
0.106178,0.845216,0.363358
0.029515,0.673057,0.596680
0.169476,0.977334,0.048308
0.134546,0.922770,0.168788
0.099832,0.801131,0.404128
0.038926,0.716100,0.502545
0.029278,0.659763,0.566048
1.000000,1.000000,0.000003
0.179849,0.982470,0.028650
0.140640,0.935944,0.125378
0.122882,0.888558,0.222194
0.098498,0.785958,0.404103
0.173047,0.977072,0.065113
0.037473,0.606983,0.381602
0.020069,0.488977,0.549189
0.018380,0.441585,0.624274
0.019071,0.374668,0.723998
0.232819,0.984606,0.081614
0.214300,0.967736,0.199361
0.203439,0.962508,0.280512
0.200200,0.963785,0.302968
0.199768,0.963353,0.319238
0.056691,0.783846,0.089020
0.055283,0.723507,0.103614
0.051709,0.665371,0.135762
0.028052,0.561558,0.213058
0.025051,0.390815,0.322187
0.041850,0.889790,0.222070
0.040701,0.850509,0.315563
0.042526,0.830926,0.361421
0.041693,0.811825,0.419816
0.020682,0.760322,0.513112
1.000000,1.000000,0.000003
0.040711,0.722872,0.206757
0.038013,0.593577,0.341279
0.020201,0.490938,0.445255
0.020441,0.396503,0.545495
0.231677,0.978585,0.012362
0.163805,0.949126,0.061283
0.134948,0.925158,0.099620
0.089655,0.834422,0.284114
0.064477,0.708066,0.523324
0.119919,0.914033,0.070892
0.114632,0.905331,0.084939
0.100614,0.876630,0.149507
0.053045,0.716545,0.434211
0.038017,0.627591,0.595335
0.065716,0.632481,0.131379
0.047841,0.480379,0.210473
0.040809,0.391692,0.235880
0.034137,0.290026,0.312853
0.027753,0.175692,0.380566
0.108231,0.810668,0.059201
0.050668,0.506308,0.196171
0.038731,0.360195,0.261131
0.030737,0.232659,0.329482
0.027361,0.171237,0.389006
0.429920,0.968920,0.059465
0.332582,0.855272,0.160298
0.291495,0.734714,0.226801
0.250368,0.546430,0.302976
0.226070,0.403800,0.377234
0.125558,0.854856,0.054338
0.060038,0.622462,0.139833
0.047625,0.503714,0.183170
0.038497,0.391691,0.246451
0.030286,0.259331,0.345140
0.085448,0.818085,0.160967
0.060107,0.708371,0.263380
0.054791,0.615350,0.351919
0.039398,0.427253,0.492085
0.030717,0.275426,0.587189
0.017715,0.987948,0.009422
0.018075,0.963991,0.026102
0.016797,0.897496,0.073965
0.009471,0.768977,0.185237
0.027344,0.604394,0.336646
0.105459,0.997326,0.004745
0.021074,0.989187,0.014921
0.024800,0.954342,0.050738
0.017957,0.784552,0.150267
0.013123,0.318341,0.453101
0.026290,0.977377,0.037719
0.037805,0.993684,0.010192
1.000000,1.000000,0.000003
0.029748,0.896840,0.043993
0.018577,0.795254,0.117292
0.116859,0.985864,0.013540
0.078680,0.970541,0.033284
0.042199,0.908648,0.147037
0.056152,0.828591,0.369630
0.045771,0.690137,0.549013
0.279898,0.987346,0.026571
0.231574,0.970138,0.054542
0.211407,0.956159,0.098513
0.198702,0.944367,0.094772
0.183537,0.930405,0.114381
0.145743,0.917460,0.081750
0.137055,0.899250,0.099608
0.140736,0.906679,0.112695
0.131022,0.890408,0.121836
0.098789,0.764905,0.296074
0.074118,0.891734,0.081440
0.049455,0.852401,0.106139
0.042519,0.806376,0.134681
0.036381,0.748395,0.209634
0.026874,0.685194,0.277904
0.291440,0.989161,0.079256
0.250089,0.979157,0.149827
0.225117,0.962929,0.229304
0.208048,0.954962,0.193344
0.195116,0.945215,0.290651
0.092635,0.893915,0.153965
0.066297,0.759572,0.254309
0.053013,0.647696,0.314998
0.034917,0.423194,0.432617
0.025347,0.224208,0.520799
0.033365,0.775004,0.162301
0.024961,0.871464,0.105921
0.016410,0.961076,0.049924
0.016410,0.972579,0.054274
0.029016,0.904102,0.159334
1.000000,1.000000,0.000003
0.089444,0.965945,0.037740
0.047738,0.724423,0.167972
0.038307,0.441957,0.408622
0.030820,0.194956,0.627170
0.059779,0.876154,0.083058
0.043850,0.623491,0.213320
0.036263,0.344579,0.447010
0.033008,0.231892,0.504531
0.030903,0.176784,0.585628
1.000000,1.000000,0.000003
0.068219,0.920073,0.063785
0.051031,0.766247,0.172191
0.046844,0.655727,0.308032
0.037993,0.433767,0.515263
0.133321,0.978807,0.102128
0.042286,0.752544,0.321215
0.028249,0.571032,0.473327
0.026286,0.521564,0.518163
0.024206,0.451598,0.563538
0.127052,0.926095,0.066691
0.119157,0.900501,0.223910
0.115254,0.893900,0.338206
0.113328,0.893657,0.360580
0.114368,0.898268,0.345269
0.060186,0.913813,0.064599
0.053526,0.888935,0.085788
0.047727,0.860785,0.107856
0.039810,0.794113,0.160065
0.031884,0.692604,0.306701
0.065476,0.959238,0.193824
0.054154,0.937790,0.312966
0.054385,0.926487,0.357748
0.053290,0.915415,0.389309
0.027902,0.880116,0.412712
1.000000,1.000000,0.000003
0.056930,0.870861,0.177859
0.040329,0.726982,0.309748
0.028365,0.521401,0.435977
0.025052,0.418957,0.505417
0.062617,0.901161,0.110231
0.045011,0.774634,0.257113
0.041157,0.707784,0.307055
0.034209,0.492420,0.492656
0.030296,0.290454,0.630902
0.055260,0.882284,0.071888
0.052932,0.866583,0.090217
0.047778,0.822977,0.121620
0.034914,0.615274,0.301316
0.029268,0.477433,0.457627
0.066797,0.899570,0.048230
0.049264,0.835575,0.076421
0.042221,0.786229,0.103944
0.035484,0.712117,0.146870
0.029226,0.590204,0.244068
0.109574,0.953968,0.021864
0.052286,0.843025,0.082414
0.039934,0.756985,0.125767
0.032267,0.646137,0.215405
0.028978,0.572569,0.257286
0.431903,0.987160,0.018943
0.333782,0.935434,0.058354
0.293144,0.876899,0.102536
0.249978,0.768677,0.187797
0.226934,0.683866,0.261529
0.137879,0.957624,0.022857
0.076374,0.885857,0.067124
0.061158,0.840456,0.103824
0.049200,0.783144,0.138247
0.038465,0.680083,0.201465
0.038318,0.751627,0.200633
0.033391,0.604399,0.289519
0.030606,0.526670,0.338723
0.027347,0.411242,0.488677
0.025959,0.337045,0.572976
0.036244,0.987702,0.009769
0.024263,0.956582,0.028980
0.018041,0.858682,0.083810
0.014271,0.663446,0.218100
0.025061,0.466287,0.345355
0.120423,0.996399,0.003550
0.036746,0.984940,0.012187
0.026902,0.934930,0.038951
0.018708,0.706147,0.125063
